"name","symbol","close","var","capmarket","vol"
"Orbia Advance","ORBIA","48.79","3.37%","97.88B","4.07M"
"MGIC Investment","MTG","246.00","0.00%","96.31B","0.00"
"BlackBerry","BBN","169.97","7.57%","95.07B","104.00"
"Goodyear Tire & Rubber Co","GT","380.00","0.00%","94.04B","0.00"
"Fibra Uno Administracion SA de CV","FUNO11","23.66","0.89%","93.84B","12.44M"
"Gruma SAB de CV","GRUMAB","205.57","-0.44%","92.85B","475.01K"
"China Biologic","CBPON","1.50K","0.00%","92.05B","0.00"
"Fibra Uno Administracion SA de CV","FUNO11","23.64","-1.09%","90.56B","1.43M"
"KB Home","KBH","989.99","0.00%","89.64B","0.00"
"Telesites SAB de CV","SITESB1","18.60","0.21%","88.81B","909.99K"
"Grupo Televisa Unit","TLEVISACPO","31.13","0.39%","87.82B","7.32M"
"El Puerto de Liverpool C","LIVEPOLC1","63.33","2.11%","85.04B","255.22K"
"Ultrapar Participacoes","UGPN","115.62","0.00%","83.41B","0.00"
"Turkcell Iletisim Hizmetleri","TKCN","114.79","0.00%","81.65B","0.00"
"Elis Services SA","ELISN","338.12","0.00%","81.36B","0.00"
"Braskem A","BAKN","410.55","-7.74%","81.25B","3.98K"
"Companhia Brasileira de Distribuicao","CBDN","130.00","-6.48%","79.90B","30.00"
"Virgin Galactic Holdings","SPCE","321.92","1.00%","77.98B","10.60K"
"Acerinox","ACXN","162.21","0.00%","77.65B","0.00"
"Range Resources","RRCO","145.00","0.00%","73.47B","0.00"
"Cie Automotive SA","CIEAN","561.59","0.00%","72.88B","0.00"
"CEMIG Pref ADR","CIGN","44.51","0.00%","71.82B","0.00"
"Whirlpool","WHR","4.91K","0.00%","71.13B","0.00"
"Simec B","SIMECB","141.00","2.92%","70.18B","2.27K"
"Fonciere Lyonnais","FLYN","1.15K","0.00%","69.97B","0.00"
"Alfa A","ALFAA","13.73","-1.30%","69.41B","14.70M"
"COPEL Pref ADR","ELPN","23.00","0.00%","68.68B","0.00"
"Kansas City Southern","KSU","5.40K","0.00%","66.95B","0.00"
"PINFRA","PINFRA","153.88","1.05%","66.30B","1.62M"
"PINFRA","PINFRA","153.07","-0.76%","65.75B","263.37K"
"Ternium ADR","TX","815.99","1.75%","65.54B","7.81K"
"Swatch Group","UHRN","6.08K","0.00%","65.07B","0.00"
"Viscofan","VISCN","1.45K","0.00%","64.63B","0.00"
"Pfizer","PFE","793.11","-0.44%","64.38B","3.88K"
"BRF ADR","BRFSN","77.50","0.00%","63.51B","0.00"
"Baozun Inc","BZUNN","614.00","0.00%","63.07B","5.00"
"Trinity Industries","TRN","556.39","3.04%","61.84B","496.00"
"Industrias Ch B","ICHB","140.33","1.50%","61.26B","14.18K"
"3D Systems","DDD","449.00","1.00%","56.17B","4.62K"
"Alfa A","ALFAA","11.39","0.88%","55.97B","14.25M"
