"name","daily","weekly","monthly","yearly","1_year","3_year"
"Inditex","6.87","6.87","17.71","25.24","31.43","27.41"
"Intuit","0","0.03","4.73","10.59","37.09","167.37"
"CVS Health Corp","0.9","6.94","19.13","31.68","22.39","38.52"
"3M","0.54","0.93","0.76","16.43","21.22","3.84"
"General Electric","1.54","0.06","-1.86","22.79","80.82","-4.42"
"Target","2.26","7.97","10.67","30.52","68.53","222.87"
"Diageo ADR","0","1.63","5.28","17.1","21.8","29.78"
"Kering","0","0","10.02","16.02","53.56","53.19"
"Coca Cola Femsa UB","-0.66","1.01","0.59","-2.28","-17.1","-18.15"
"Estee Lauder","0","0.63","-3.71","13.05","45.72","102.66"
"Lockheed Martin","0.31","-0.3","3.5","9.71","-8.23","22.44"
"Vale ADR","-3.09","-2.39","4.8","22.53","93.36","44.68"
"Enel","0","0","-1.71","4.7","27.77","70.34"
"Deutsche Tel.","0","10.23","10.23","15.46","23.18","33.58"
"Daimler","0","0","0","21.27","126.26","6.38"
"Anthem","1.38","5.15","31.28","29.45","22.84","70.49"
"GlaxoSmithKline ADR","0","0","6.76","6.32","-16.86","-3"
"Nippon Telegraph & Telephone Corp","0","0","0","-43.44","-43.44","-39.39"
"Stryker","0","0","-2.23","3.66","16.6","44.61"
"Booking","4.17","-1","-3.47","8.47","26.16","13.68"
"AMD","-0.72","4.29","-5.84","-15.2","24.57","506.56"
"Fidelity National Info","1","0.5","-1.09","6.93","-2.83","59.4"
"Altria","0","-0.99","4.21","23.75","15.65","-9.51"
"Uber Tech","-0.39","5.12","-11.83","-3.25","24.92",
"S&P Global","1.25","-0.15","-0.9","16.38","2.17","101.24"
"Micron","-0.26","1.53","-5.67","7.74","57.29","37.73"
"Cigna","0","-1.15","2.97","27.43","14.7","47.99"
"U.S. Bancorp","0","-3.3","4.92","33.36","64.3","19.19"
"Mondelez","1.94","1.75","7.73","10.39","7.32","68.65"
"Xiaomi","1.85","-0.66","-14.16","-48.38",,
"BP ADR","0.76","-0.14","8.85","25.95","1.34","-42.5"
"Prologis","0","2.35","3.92","18.35","17.36","86.05"
"Gilead","0.58","1.03","6.77","21.97","-16.5","4.44"
"Iberdrola","-4.29","-1.19","-6.6","-8.04","14.2","72.4"
"BNP Paribas","0","0","7.24","25.61","83.75","-10.03"
"Airbnb","-1.65","-4.16","-22.78",,,
"Coca Cola Femsa L","-0.24","0.99","-0.8","7.18","7.2","-14.56"
"China Petrol & Chemical ADR","0","0.58","3.76","16.06","2.75","-46.65"
"FedEx","2.13","0.89","12.36","21.05","132.88","26.91"
"General Motors","2.42","2.53","-0.35","36.91","93.36","54.34"
"TJX","-2.81","-6.43","-4.19","0.86","7.91","-14.83"
"Bank of Nova Scotia","0","5.94","5.94","23.84","51.99","6.65"
"NetEase","12.18","18.16","15.04","26.14","-72.08","-50.39"
"Fiserv","0.36","0.32","-8.66","0.59","-4.37","71.12"
"ConocoPhillips","1.22","0.99","13.45","40.07","10.02","-17.65"
"Sherwin-Williams","0.31","-0.39","4.27","-61.04","-58.12","-23.75"
"Cognizant A","0","0","0","4.42","12.73","0.98"
"Activision Blizzard","-0.68","3.31","3.59","3.16","14.54","36.53"
"Mitsubishi UFJ Financial ADR","0","0.96","-5.34","24.85","26.14","-8.62"
"Illinois Tool Works","0","0","0","2.36","44.16","38.77"
"Capital One Financial","1.7","3.25","20.53","87.7","103.72","81.44"
"Adidas","0","5","9.45","-1.2","30.54","63.89"
"Santander","-1.91","2.67","16.38","31.04","57.95","-34.89"
"Nintendo","0","2.39","-6.77","-13.85","12.62","40.67"
"MercadoLibre","0.05","3.47","-14.1","-18.58","43.11","368.52"
"ABB ADR","0","0","1.86","55.06","55.06","37.86"
"VMware","0","0","3.28","16.17","3.71","18.14"
"Bayer","0","-0.66","2.84","15.37","-10.43","-38.43"
"Stellantis NV","0","0","2.43","13.93","120.51","-9"
"Axa","0","-5.3","-3.41","9.17","37.01","2.16"
"Reckitt Benckiser","0","2.36","1.57","-15.43","-8.86","15.75"
"Moderna","-2.25","0.42","-6.67","56.08","105.26",
"Atlas Copco A","0","-4.85","-7.64","15.65","41.33","97.3"
"Vinci","0","0","2.29","8.54","15.82","16.98"
"ICE","0","0","-2.13","11.69","1.26","63.89"
"Petroleo Brasileiro Petrobras ADR","0.27","-2.09","11.44","-16.14","17.09","-37.67"
"Cemex","1.54","7.81","18.54","35.74","119.87","6.41"
"Ecolab","0","-5.4","-4.25","-4.53","-12.12","47.97"
"Northrop Grumman","-0.29","0.24","9.22","25.16","-4.61","14.27"
"Freeport-McMoran","0.37","-3.19","11.67","57.61","309","143.24"
"Edwards Lifesciences","0","0.38","-6.2","0.31","-64.11","-31.44"
"Intesa","0","0","0","3.55","27.6","-28.53"
"Illumina","2.13","5.18","-0.47","9.67","-1.07","49.45"
"Glencore","0","0","0","71.35","118.33","-22.37"
"BMW","0","0","-6.79","15.39","59.91","-7.6"
"Banco Santander Brasil ADR","0","0","0","-29.63","-29.63","-17.17"
"Emerson","0","2.45","2.45","19.54","39.5","30.66"
"UBS Group","0","0","-1.64","10.68","38.85","-2.06"
"Prudential Public ADR","0","0","-2.93","15.66","34.62","-15.78"
"NXP","0.3","3.48","-0.05","27.84","79.2","103.52"
"Vertex","0.25","0.21","-6.46","-7.28","-34.39","39.71"
"Wal Mart de Mexico","0.75","1.29","-3.34","12.33","12.67","24.86"
"Twilio","-0.08","6.85","-15.15","-9.88","33.9","564.56"
"Itau Unibanco","0","5.3","10.23","-13.31","14.49","-55.02"
"Kraft Heinz","0","-0.97","5.82","30.76","26.06","-23.58"
"Southern Copper","0","0","14.04","22.24","118.21","53.67"
"General Dynamics","0","0","1.26","25.75","18.55","-7.38"
"Ford Motor","7.66","14.12","11.07","53.39","106.5","19.34"
"ING ADR","0","0","3.55","36.66","99.39","-16.61"
"Honda Motor ADR","0","-2.88","0","-0.33","9.58","-8.93"
"Nio A ADR","-0.39","4.42","-15.28","-28.81","820.67",
"Ambev SA","-0.61","-0.2","13.89","8.43","30.94","-41.95"
"Ferrari NV","0","0","-9.3","-13.79","8.43","41.66"
"Infineon","1.13","3.53","-6.55","31.62","63.9","38.29"
"América Móvil","-0.6","2.04","3.24","3.31","2.04","-7.76"
"TAL Education","0","1.05","-22.19","-24.32","-20.73","13.07"
"Baidu","-1.4","2.56","-13.64","-11.64","59.25","-19.53"
"Lloyds Banking ADR","0","0","4.44","-18.95","-18.95","-33.7"
"America Movil A","0","-1.76","1.82","-3","0.34","-8.03"
"Walgreens Boots","0.6","0.66","3.94","39.39","21.23","-14.41"
"EOG Resources","0","-2.12","13.17","60.97","35.55","-27.93"
"Constellation Brands A","-2","2.63","0","9.14","22.29","11.97"
"LM Ericsson B ADR","0","3.85","-5.26","13.26","35","125"
"Exelon","0","0.57","-3.59","5.48","5.85","19.28"
"DuPont De Nemours","1.56","13.65","13.65","23.49","55.95","-12.02"
"ENI ADR","0","0","0","0","-5.09","-46.6"
"Schlumberger","0","-3.36","24.65","47.68","60","-57.01"
"Las Vegas Sands","1.48","3.01","-2.14","-2.53","8.91","-26.5"
"AIG","0","0","9.57","34.91","54","-6.61"
"Ross Stores","0.6","-5.43","-1.13","0.72","13.89","52.12"
"Barrick Gold","-0.01","3.5","12.55","8.71","-17.51","91.59"
"TE Connectivity","0","0","0","0","0","-3.93"
"Spotify Tech","0.48","4.67","-18.73","-28.22","4.32",
"Twitter Inc","-0.42","5.42","-17.91","1.12","46.28","66.31"
"Barclays ADR","0","1.49","-4.23","23.39","67.21","-9.89"
"Centene","3.26","6.99","16.4","24.36","-10.9",
"Biogen","-0.61","4.3","9.24","13.89","-19.67","1.82"
"PPG Industries","0","-1.05","2.62","50.3","67.87","74.85"
"Prudential Financial","0","0","6.53","36.89","57.31","4.92"
"Baxter","0","0","-1.7","6.99","-18.85","29.87"
"eBay","3.88","2.15","-3.17","22.71","24.45","64.99"
"BBVA","1.65","1.23","17.43","25.51","86.36","-16.89"
"Sempra Energy","1.48","1.48","1.86","8.3","-3.1","30.48"
"Banco Bradesco","0","0","8.33","3.19","1.83","-51.15"
"The Travelers","-0.54","0.68","29.83","29.83","40.03","22.45"
"CRH ADR","0","-2.32","3.43","23.5","42.23","37.43"
"Veeva Systems A","0","5.21","-4.06","-4.54","14.14",
"HP Inc","-1.31","-1.94","-5.73","30.01","63.39","59.41"
"Gmexico","-0.57","-2.55","13.08","18.08","113.98","59.87"
"Engie","0","0","-4.75","4.22","28.22","-1.56"
"DocuSign","0","4.99","-12.55","-14.64","28.34",
"Chipotle Mexican Grill","0","-4.72","-7.83","-5.97","20.31","214.17"
"Corning","-4.43","-4.43","-4.64","18.12","69.68","69.96"
"Saint Gobain","0","0","0","82.39","82.39","19.86"
"Southwest Airlines","0.87","-3.34","-1.46","30.1","85.13","22.42"
"Orange ADR","0","0","0","5.4","-0.86","-25.99"
"Hilton Worldwide","-0.7","-0.7","-3.76","12.96","35.74","45.96"
"ArcelorMittal ADR","0","-3.47","2.48","32.37","202.44","-5.9"
"Howmet","0","0","0","38.14","100.32","117.9"
"E.ON","0","0","18.85","13.38","6.22","15.21"
"McKesson","1.73","3.29","6.13","18.9","39.82","55.61"
"Valero Energy","0","-0.05","11.21","35.35","3.95","-35.44"
"Capgemini","0","1.99","1.99","18.2","64.81",
"Carnival Corp","-0.73","0.85","0.78","25.9","61.44",
"Deutsche Borse","0","0","-3.48","36.2","36.2","24.26"
"Nucor","2.04","-0.94","31.77","93.52","108.79","58.81"
"Deutsche Bank","0","0.33","19.71","30.76","75.83","9.57"
"Xilinx","0","0","6.77","-8.69","32.32","85.76"
"Ameriprise Financial","0.98","-1.11","3.92","32.79","59.24","76.99"
"Magna Intl","0","0","-1.59","49.64","111.24","39.77"
"Legrand","0","0","0","0","0","-11.41"
"Delta Air Lines","0.57","-1.09","-0.22","13.26","75.57","-13.12"
"Nokia ADR","-0.59","3.76","21.95","30.44","13.68","-17.96"
"Best Buy","0","0","1.94","14.62","17.71","57.54"
"RBC","-4.45","3.78","9.82","27.79","56.75","33.96"
"UniCredit","0","0","0","0","38.22","-42.61"
"Swiss Re","0","0","0","0","0","15.08"
"Telefonica ADR","0","7.93","32.11","26.68","-2.83","-43.65"
"Société Générale","0","0","23.53","57.13","105.79","-35.18"
"Michelin","0","0","0","13.27","39.69","6.73"
"Synchrony Financial","4.35","2.04","15.78","35.36","124.5","31.33"
"New Oriental Education&Tech","0","-2.88","-29.82","-93.36","-92.18","-87.81"
"Credit Suisse ADR","0","3.7","-0.03","-18.98","4.85","-35.79"
"Aena","0","0","0","6.68","22.94","-10.19"
"Dollar Tree","0.37","-9.89","-9.89","-3.52","16.87","17"
"Ecopetrol ADR","0","0","0","0","11.11","-43.83"
"International Paper","-0.2","-0.2","10.59","24.56","62.63","27.99"
"Canon ADR","0","0","0","23.25","-13.6","-31.37"
"Fresenius Medical Care","0","0","4.74","-17.08","3.78","-19.64"
"Lennar","0","-7.97","-3.34","22.51","55.74","91.32"
"DISH Network","0","0","0","10.88","1.76","-13"
"Martin Marietta Materials","0","-3.81","3.08","31.54","82.3","84.12"
"MetLife","0","0","4.13","41.64","72.32","37.56"
"Western Digital","0","7.26","6.75","34.34","47.74","-14.34"
"Siemens Gamesa","0","137.97","137.97","137.97","137.97","95.33"
"Ferrovial","0","-9.73","-1.34","-2.43","6.31","31.85"
"Teladoc Inc","-0.02","5.57","-22.14","-30.78","-30.09",
"Hewlett Packard","0","0","-1.23","32.64","53","-2.13"
"Royal Caribbean Cruises","-0.81","-0.15","-2.38","11.96","69.32","-21.26"
"China Unicom Hong Kong ADR","0","0","0","0","0","-45.77"
"Xylem","0","0","0","21.86","42.11",
"Halliburton","0","2.64","23.22","23.22","68.97","-54.79"
"Financiero Banorte","0.46","11.39","12.58","24.9","102.99","25.53"
"Elektra","0.08","0.25","12.2","22.15","17.98","215.81"
"Exor","0","0","0.64","16.11","18.63","10.36"
"MGM","1.9","3.41","-2.86","29.42","123.05","30.95"
"Cooper","0","0","0","6.25","18.54","79.91"
"Albemarle","0","2.27","-0.95","7.3","110.7","60.12"
"Raymond James Financial","0","0","0","0","0","-12.11"
"United Airlines Holdings","0.02","0.51","4.25","26.58","92.44","-21.79"
"Symrise AG","0","0","0","7.54","7.54","51.29"
"Telefonica Brasil SA","0","0","0","0","0","-2.17"
"Erste Bank","0","0","8.14","34.87","31.58","-21.49"
"Devon Energy","1.59","-1.66","20.23","63.78","85.14","-37.34"
"Carrefour","0","2.38","9.98","25.76","30.33","9.59"
"Teck Resources B","0","-5.43","11.63","36.2","126.42","-16.52"
"Check Point Software","0","0","0.43","-7.25","4.88","24.01"
"Masco","0","0","0.58","17.71","29.81","71.28"
"Westinghouse Air Brake","0","0","0","13.78","33.63",
"Textron","0","0","23.61","41.08","108.85","2.11"
"Wynn Resorts","-0.95","-0.39","1.09","11.68","40.23","-34.44"
"PulteGroup","0","0","0","22.62","44.97","81.1"
"Ryanair ADR","0","0","1.72","11.51","82.48",
"Ryanair","0","0","0","39.69","39.69","-7.93"
